date,increase,decrease,diff,score
2021-01-25,1,0,1,1.0
2021-01-27,0,1,-1,-1.0
2021-01-28,5,1,4,0.6666666666666666
2021-01-29,3,1,2,0.5
2021-01-31,1,0,1,1.0
2021-02-01,5,0,5,1.0
2021-02-02,2,0,2,1.0
2021-02-03,0,1,-1,-1.0
2021-02-04,3,1,2,0.5
2021-02-05,4,1,3,0.6
2021-02-06,1,0,1,1.0
2021-02-07,1,0,1,1.0
2021-02-08,3,1,2,0.5
2021-02-09,4,0,4,1.0
2021-02-10,6,1,5,0.7142857142857143
2021-02-11,2,1,1,0.3333333333333333
2021-02-12,1,0,1,1.0
2021-02-13,2,0,2,1.0
2021-02-14,4,0,4,1.0
2021-02-15,3,0,3,1.0
2021-02-16,1,0,1,1.0
2021-02-17,4,0,4,1.0
2021-02-18,1,0,1,1.0
2021-02-19,4,2,2,0.3333333333333333
2021-02-20,2,1,1,0.3333333333333333
2021-02-21,2,1,1,0.3333333333333333
2021-02-22,1,2,-1,-0.3333333333333333
2021-02-23,1,3,-2,-0.5
2021-02-24,3,0,3,1.0
2021-02-25,2,3,-1,-0.2
2021-02-26,3,0,3,1.0
2021-02-27,2,1,1,0.3333333333333333
2021-02-28,0,2,-2,-1.0
2021-03-01,2,2,0,0.0
2021-03-02,5,2,3,0.42857142857142855
2021-03-03,4,0,4,1.0
2021-03-04,1,1,0,0.0
2021-03-05,1,1,0,0.0
2021-03-06,1,0,1,1.0
2021-03-07,3,1,2,0.5
2021-03-08,0,1,-1,-1.0
2021-03-09,1,1,0,0.0
2021-03-10,0,0,0,NaN
2021-03-11,1,0,1,1.0
2021-03-12,3,1,2,0.5
2021-03-13,1,0,1,1.0
2021-03-14,2,0,2,1.0
2021-03-15,1,2,-1,-0.3333333333333333
2021-03-16,4,1,3,0.6
2021-03-17,9,1,8,0.8
2021-03-19,3,1,2,0.5
2021-03-20,4,3,1,0.14285714285714285
2021-03-21,4,1,3,0.6
2021-03-22,1,1,0,0.0
2021-03-23,2,1,1,0.3333333333333333
2021-03-24,3,1,2,0.5
2021-03-25,6,2,4,0.5
2021-03-26,3,1,2,0.5
2021-03-28,3,1,2,0.5
2021-03-29,6,1,5,0.7142857142857143
2021-03-30,4,1,3,0.6
2021-03-31,5,1,4,0.6666666666666666
2021-04-01,2,1,1,0.3333333333333333
2021-04-02,4,0,4,1.0
2021-04-03,1,1,0,0.0
2021-04-04,0,0,0,NaN
2021-04-05,2,1,1,0.3333333333333333
2021-04-06,5,1,4,0.6666666666666666
2021-04-07,3,0,3,1.0
2021-04-08,8,0,8,1.0
2021-04-09,6,0,6,1.0
2021-04-10,2,0,2,1.0
2021-04-11,2,0,2,1.0
2021-04-12,6,1,5,0.7142857142857143
2021-04-13,3,0,3,1.0
2021-04-14,4,1,3,0.6
2021-04-15,3,2,1,0.2
2021-04-16,3,1,2,0.5
2021-04-17,2,2,0,0.0
2021-04-18,1,4,-3,-0.6
2021-04-19,8,2,6,0.6
2021-04-20,10,1,9,0.8181818181818182
2021-04-21,3,0,3,1.0
2021-04-22,6,3,3,0.3333333333333333
2021-04-23,3,3,0,0.0
2021-04-24,4,0,4,1.0
2021-04-25,1,1,0,0.0
2021-04-26,5,1,4,0.6666666666666666
2021-04-27,2,2,0,0.0
2021-04-28,7,2,5,0.5555555555555556
2021-04-29,4,2,2,0.3333333333333333
2021-04-30,3,1,2,0.5
2021-05-01,5,0,5,1.0
2021-05-02,1,0,1,1.0
2021-05-03,3,0,3,1.0
2021-05-04,2,1,1,0.3333333333333333
2021-05-05,6,1,5,0.7142857142857143
2021-05-06,4,0,4,1.0
2021-05-07,7,0,7,1.0
2021-05-08,1,0,1,1.0
2021-05-09,5,2,3,0.42857142857142855
2021-05-10,6,1,5,0.7142857142857143
2021-05-11,6,4,2,0.2
2021-05-12,2,2,0,0.0
2021-05-13,5,1,4,0.6666666666666666
2021-05-14,5,3,2,0.25
2021-05-15,4,5,-1,-0.1111111111111111
2021-05-16,3,8,-5,-0.45454545454545453
2021-05-17,1,3,-2,-0.5
2021-05-18,3,3,0,0.0
2021-05-19,3,2,1,0.2
2021-05-20,1,2,-1,-0.3333333333333333
2021-05-21,3,1,2,0.5
2021-05-22,1,0,1,1.0
2021-05-23,1,5,-4,-0.6666666666666666
2021-05-24,3,2,1,0.2
2021-05-25,3,0,3,1.0
2021-05-26,6,1,5,0.7142857142857143
2021-05-27,4,1,3,0.6
2021-05-28,2,2,0,0.0
2021-05-29,4,1,3,0.6
2021-05-30,5,1,4,0.6666666666666666
2021-05-31,4,2,2,0.3333333333333333
2021-06-01,6,1,5,0.7142857142857143
2021-06-02,7,1,6,0.75
2021-06-03,5,1,4,0.6666666666666666
2021-06-04,5,5,0,0.0
2021-06-05,5,2,3,0.42857142857142855
2021-06-06,3,1,2,0.5
2021-06-07,6,0,6,1.0
2021-06-08,9,6,3,0.2
2021-06-09,2,1,1,0.3333333333333333
2021-06-10,2,0,2,1.0
2021-06-11,3,2,1,0.2
2021-06-12,2,1,1,0.3333333333333333
2021-06-13,4,1,3,0.6
2021-06-14,3,2,1,0.2
2021-06-15,2,1,1,0.3333333333333333
2021-06-16,3,1,2,0.5
2021-06-17,4,0,4,1.0
2021-06-18,3,2,1,0.2
2021-06-19,0,2,-2,-1.0
2021-06-20,3,1,2,0.5
2021-06-21,1,3,-2,-0.5
2021-06-22,1,5,-4,-0.6666666666666666
2021-06-23,6,1,5,0.7142857142857143
2021-06-24,2,3,-1,-0.2
2021-06-25,2,2,0,0.0
2021-06-26,2,2,0,0.0
2021-06-27,1,1,0,0.0
2021-06-28,6,1,5,0.7142857142857143
2021-06-29,6,3,3,0.3333333333333333
2021-06-30,3,3,0,0.0
2021-07-01,1,3,-2,-0.5
2021-07-02,5,1,4,0.6666666666666666
2021-07-03,2,1,1,0.3333333333333333
2021-07-04,3,1,2,0.5
2021-07-05,2,0,2,1.0
2021-07-06,2,1,1,0.3333333333333333
2021-07-07,2,1,1,0.3333333333333333
2021-07-08,1,2,-1,-0.3333333333333333
2021-07-09,5,3,2,0.25
2021-07-10,5,2,3,0.42857142857142855
2021-07-11,1,2,-1,-0.3333333333333333
2021-07-12,1,1,0,0.0
2021-07-14,0,1,-1,-1.0
2021-07-15,0,0,0,NaN
2021-07-16,2,1,1,0.3333333333333333
2021-07-17,0,1,-1,-1.0
2021-07-18,1,1,0,0.0
2021-07-19,1,1,0,0.0
2021-07-20,1,3,-2,-0.5
2021-07-21,3,0,3,1.0
2021-07-22,7,1,6,0.75
2021-07-23,2,0,2,1.0
2021-07-24,3,1,2,0.5
2021-07-25,5,0,5,1.0
2021-07-26,5,1,4,0.6666666666666666
2021-07-27,1,2,-1,-0.3333333333333333
2021-07-28,4,0,4,1.0
2021-07-29,1,0,1,1.0
2021-07-30,0,0,0,NaN
2021-08-01,3,0,3,1.0
2021-08-02,1,0,1,1.0
2021-08-03,3,3,0,0.0
2021-08-04,3,5,-2,-0.25
2021-08-05,1,2,-1,-0.3333333333333333
2021-08-06,3,1,2,0.5
2021-08-07,2,1,1,0.3333333333333333
2021-08-08,4,0,4,1.0
2021-08-09,3,1,2,0.5
2021-08-10,1,0,1,1.0
2021-08-11,5,0,5,1.0
2021-08-12,2,0,2,1.0
2021-08-13,1,0,1,1.0
2021-08-14,0,2,-2,-1.0
2021-08-15,3,0,3,1.0
2021-08-16,3,2,1,0.2
2021-08-17,2,1,1,0.3333333333333333
2021-08-18,5,3,2,0.25
2021-08-19,4,4,0,0.0
2021-08-20,4,2,2,0.3333333333333333
2021-08-21,2,0,2,1.0
2021-08-22,2,5,-3,-0.42857142857142855
2021-08-23,14,2,12,0.75
2021-08-24,4,2,2,0.3333333333333333
2021-08-25,13,4,9,0.5294117647058824
2021-08-26,1,2,-1,-0.3333333333333333
2021-08-27,5,1,4,0.6666666666666666
2021-08-28,7,1,6,0.75
2021-08-29,6,2,4,0.5
2021-08-30,1,3,-2,-0.5
2021-08-31,2,2,0,0.0
2021-09-01,2,1,1,0.3333333333333333
2021-09-02,4,1,3,0.6
2021-09-03,4,1,3,0.6
2021-09-04,3,1,2,0.5
2021-09-05,2,2,0,0.0
2021-09-06,4,1,3,0.6
2021-09-07,6,13,-7,-0.3684210526315789
2021-09-08,6,5,1,0.09090909090909091
2021-09-09,3,2,1,0.2
2021-09-10,3,5,-2,-0.25
2021-09-11,4,1,3,0.6
2021-09-12,3,1,2,0.5
2021-09-13,1,5,-4,-0.6666666666666666
2021-09-14,5,3,2,0.25
2021-09-15,6,7,-1,-0.07692307692307693
2021-09-16,6,2,4,0.5
2021-09-17,2,2,0,0.0
2021-09-18,3,0,3,1.0
2021-09-19,3,6,-3,-0.3333333333333333
2021-09-20,6,9,-3,-0.2
2021-09-21,7,6,1,0.07692307692307693
2021-09-22,5,2,3,0.42857142857142855
2021-09-23,5,5,0,0.0
2021-09-24,5,14,-9,-0.47368421052631576
2021-09-25,2,3,-1,-0.2
2021-09-26,7,1,6,0.75
2021-09-27,4,3,1,0.14285714285714285
2021-09-28,2,8,-6,-0.6
2021-09-29,4,4,0,0.0
2021-09-30,7,0,7,1.0
2021-10-01,9,3,6,0.5
2021-10-02,4,1,3,0.6
2021-10-03,8,1,7,0.7777777777777778
2021-10-04,4,1,3,0.6
2021-10-05,4,1,3,0.6
2021-10-06,4,2,2,0.3333333333333333
2021-10-07,5,3,2,0.25
2021-10-08,7,1,6,0.75
2021-10-09,2,1,1,0.3333333333333333
2021-10-10,4,0,4,1.0
2021-10-11,0,1,-1,-1.0
2021-10-12,8,2,6,0.6
2021-10-13,5,5,0,0.0
2021-10-14,5,3,2,0.25
2021-10-15,2,2,0,0.0
2021-10-16,2,1,1,0.3333333333333333
2021-10-17,3,1,2,0.5
2021-10-18,5,1,4,0.6666666666666666
2021-10-19,3,2,1,0.2
2021-10-20,3,0,3,1.0
2021-10-21,1,8,-7,-0.7777777777777778
2021-10-22,2,2,0,0.0
2021-10-23,1,1,0,0.0
2021-10-24,3,0,3,1.0
2021-10-25,2,0,2,1.0
2021-10-26,4,0,4,1.0
2021-10-27,7,5,2,0.16666666666666666
2021-10-28,5,5,0,0.0
2021-10-29,2,1,1,0.3333333333333333
2021-10-30,0,0,0,NaN
2021-10-31,3,2,1,0.2
2021-11-01,5,1,4,0.6666666666666666
2021-11-02,4,1,3,0.6
2021-11-03,1,1,0,0.0
2021-11-04,8,0,8,1.0
2021-11-05,3,0,3,1.0
2021-11-06,3,2,1,0.2
2021-11-07,4,0,4,1.0
2021-11-08,5,2,3,0.42857142857142855
2021-11-09,7,3,4,0.4
2021-11-10,4,2,2,0.3333333333333333
2021-11-11,4,6,-2,-0.2
2021-11-12,5,10,-5,-0.3333333333333333
2021-11-13,3,1,2,0.5
2021-11-14,8,0,8,1.0
2021-11-15,6,1,5,0.7142857142857143
2021-11-16,1,7,-6,-0.75
2021-11-17,5,4,1,0.1111111111111111
2021-11-18,3,1,2,0.5
2021-11-19,3,0,3,1.0
2021-11-20,3,2,1,0.2
2021-11-21,5,1,4,0.6666666666666666
2021-11-22,5,1,4,0.6666666666666666
2021-11-24,3,2,1,0.2
2021-11-25,2,2,0,0.0
2021-11-26,3,5,-2,-0.25
2021-11-27,2,1,1,0.3333333333333333
2021-11-28,3,3,0,0.0
2021-11-29,4,1,3,0.6
2021-11-30,9,3,6,0.5
2021-12-01,5,0,5,1.0
2021-12-02,5,8,-3,-0.23076923076923078
2021-12-03,6,7,-1,-0.07692307692307693
2021-12-04,10,8,2,0.1111111111111111
2021-12-05,8,7,1,0.06666666666666667
2021-12-06,5,6,-1,-0.09090909090909091
2021-12-07,6,2,4,0.5
2021-12-08,4,3,1,0.14285714285714285
2021-12-09,6,2,4,0.5
2021-12-10,3,8,-5,-0.45454545454545453
2021-12-11,1,1,0,0.0
2021-12-12,3,4,-1,-0.14285714285714285
2021-12-13,6,2,4,0.5
2021-12-14,8,3,5,0.45454545454545453
2021-12-15,6,2,4,0.5
2021-12-16,7,2,5,0.5555555555555556
2021-12-17,6,4,2,0.2
2021-12-18,6,2,4,0.5
2021-12-19,4,0,4,1.0
2021-12-20,6,3,3,0.3333333333333333
2021-12-21,10,2,8,0.6666666666666666
2021-12-22,6,0,6,1.0
2021-12-23,5,2,3,0.42857142857142855
2021-12-24,8,1,7,0.7777777777777778
2021-12-25,10,0,10,1.0
2021-12-26,6,1,5,0.7142857142857143
2021-12-27,11,5,6,0.375
2021-12-28,2,6,-4,-0.5
2021-12-29,6,7,-1,-0.07692307692307693
2021-12-30,4,3,1,0.14285714285714285
2021-12-31,5,1,4,0.6666666666666666
2022-01-01,2,3,-1,-0.2
2022-01-02,3,0,3,1.0
2022-01-03,3,4,-1,-0.14285714285714285
2022-01-04,7,9,-2,-0.125
2022-01-05,4,8,-4,-0.3333333333333333
2022-01-06,1,3,-2,-0.5
2022-01-07,5,10,-5,-0.3333333333333333
2022-01-08,4,2,2,0.3333333333333333
2022-01-09,3,3,0,0.0
2022-01-10,3,4,-1,-0.14285714285714285
2022-01-11,5,3,2,0.25
2022-01-12,7,3,4,0.4
2022-01-13,11,2,9,0.6923076923076923
2022-01-14,9,3,6,0.5
2022-01-15,4,0,4,1.0
2022-01-16,7,1,6,0.75
2022-01-17,9,5,4,0.2857142857142857
2022-01-18,5,4,1,0.1111111111111111
2022-01-19,11,3,8,0.5714285714285714
2022-01-20,3,6,-3,-0.3333333333333333
2022-01-21,9,18,-9,-0.3333333333333333
2022-01-22,5,6,-1,-0.09090909090909091
2022-01-23,7,1,6,0.75
2022-01-24,6,11,-5,-0.29411764705882354
2022-01-25,11,6,5,0.29411764705882354
2022-01-26,8,2,6,0.6
2022-01-27,5,7,-2,-0.16666666666666666
2022-01-28,6,9,-3,-0.2
2022-01-29,6,1,5,0.7142857142857143
2022-01-30,8,0,8,1.0
2022-01-31,7,7,0,0.0
2022-02-01,6,2,4,0.5
2022-02-02,8,4,4,0.3333333333333333
2022-02-03,4,10,-6,-0.42857142857142855
2022-02-04,7,3,4,0.4
2022-02-05,4,1,3,0.6
2022-02-06,7,0,7,1.0
2022-02-07,12,1,11,0.8461538461538461
2022-02-08,11,2,9,0.6923076923076923
2022-02-09,8,0,8,1.0
2022-02-10,10,3,7,0.5384615384615384
2022-02-11,3,4,-1,-0.14285714285714285
2022-02-12,1,2,-1,-0.3333333333333333
2022-02-13,4,2,2,0.3333333333333333
2022-02-14,9,5,4,0.2857142857142857
2022-02-15,8,2,6,0.6
2022-02-16,7,5,2,0.16666666666666666
2022-02-17,5,6,-1,-0.09090909090909091
2022-02-18,6,7,-1,-0.07692307692307693
2022-02-19,2,3,-1,-0.2
2022-02-20,2,2,0,0.0
2022-02-21,6,7,-1,-0.07692307692307693
2022-02-22,8,12,-4,-0.2
2022-02-23,7,3,4,0.4
2022-02-24,2,12,-10,-0.7142857142857143
2022-02-25,4,2,2,0.3333333333333333
2022-02-26,6,1,5,0.7142857142857143
2022-02-27,6,1,5,0.7142857142857143
2022-02-28,8,0,8,1.0
2022-03-01,9,3,6,0.5
2022-03-02,6,4,2,0.2
2022-03-03,10,6,4,0.25
2022-03-04,7,9,-2,-0.125
2022-03-05,6,7,-1,-0.07692307692307693
2022-03-06,6,4,2,0.2
2022-03-07,6,6,0,0.0
2022-03-08,4,3,1,0.14285714285714285
2022-03-09,13,2,11,0.7333333333333333
2022-03-10,5,3,2,0.25
2022-03-11,9,10,-1,-0.05263157894736842
2022-03-12,2,1,1,0.3333333333333333
2022-03-13,7,3,4,0.4
2022-03-14,16,8,8,0.3333333333333333
2022-03-15,11,3,8,0.5714285714285714
2022-03-16,15,3,12,0.6666666666666666
2022-03-17,14,1,13,0.8666666666666667
2022-03-18,8,1,7,0.7777777777777778
2022-03-19,4,2,2,0.3333333333333333
2022-03-20,8,2,6,0.6
2022-03-21,17,5,12,0.5454545454545454
2022-03-22,16,1,15,0.8823529411764706
2022-03-23,20,6,14,0.5384615384615384
2022-03-24,35,5,30,0.75
2022-03-25,18,2,16,0.8
2022-03-26,13,1,12,0.8571428571428571
2022-03-27,19,0,19,1.0
2022-03-28,27,5,22,0.6875
2022-03-29,22,3,19,0.76
2022-03-30,13,1,12,0.8571428571428571
2022-03-31,11,4,7,0.4666666666666667
2022-04-01,16,8,8,0.3333333333333333
2022-04-02,12,1,11,0.8461538461538461
2022-04-03,9,1,8,0.8
2022-04-04,12,2,10,0.7142857142857143
2022-04-05,17,3,14,0.7
2022-04-06,12,5,7,0.4117647058823529
2022-04-07,29,7,22,0.6111111111111112
2022-04-08,31,4,27,0.7714285714285715
2022-04-09,10,2,8,0.6666666666666666
2022-04-10,14,2,12,0.75
2022-04-11,12,15,-3,-0.1111111111111111
2022-04-12,10,5,5,0.3333333333333333
2022-04-13,12,6,6,0.3333333333333333
2022-04-14,18,2,16,0.8
2022-04-15,12,3,9,0.6
2022-04-16,12,1,11,0.8461538461538461
2022-04-17,11,1,10,0.8333333333333334
2022-04-18,8,5,3,0.23076923076923078
2022-04-19,11,3,8,0.5714285714285714
2022-04-20,10,3,7,0.5384615384615384
2022-04-21,16,5,11,0.5238095238095238
2022-04-22,10,8,2,0.1111111111111111
2022-04-23,4,4,0,0.0
2022-04-24,10,2,8,0.6666666666666666
2022-04-25,13,5,8,0.4444444444444444
2022-04-26,21,3,18,0.75
2022-04-27,24,4,20,0.7142857142857143
2022-04-28,19,7,12,0.46153846153846156
2022-04-29,7,6,1,0.07692307692307693
2022-04-30,9,4,5,0.38461538461538464
2022-05-01,7,7,0,0.0
2022-05-02,17,3,14,0.7
2022-05-03,12,3,9,0.6
2022-05-04,19,3,16,0.7272727272727273
2022-05-05,19,13,6,0.1875
2022-05-06,11,11,0,0.0
2022-05-07,7,7,0,0.0
2022-05-08,8,3,5,0.45454545454545453
2022-05-09,18,25,-7,-0.16279069767441862
2022-05-10,19,4,15,0.6521739130434783
2022-05-11,10,12,-2,-0.09090909090909091
2022-05-12,20,14,6,0.17647058823529413
2022-05-13,21,3,18,0.75
2022-05-14,11,8,3,0.15789473684210525
2022-05-15,12,3,9,0.6
2022-05-16,18,10,8,0.2857142857142857
2022-05-17,16,7,9,0.391304347826087
2022-05-18,15,8,7,0.30434782608695654
2022-05-19,15,8,7,0.30434782608695654
2022-05-20,15,7,8,0.36363636363636365
2022-05-21,7,6,1,0.07692307692307693
2022-05-22,12,3,9,0.6
2022-05-23,24,9,15,0.45454545454545453
2022-05-24,23,10,13,0.3939393939393939
2022-05-25,22,5,17,0.6296296296296297
2022-05-26,21,8,13,0.4482758620689655
2022-05-27,17,6,11,0.4782608695652174
2022-05-28,9,8,1,0.058823529411764705
2022-05-29,10,5,5,0.3333333333333333
2022-05-30,19,11,8,0.26666666666666666
2022-05-31,19,3,16,0.7272727272727273
2022-06-01,23,5,18,0.6428571428571429
2022-06-02,17,7,10,0.4166666666666667
2022-06-03,11,11,0,0.0
2022-06-04,8,10,-2,-0.1111111111111111
2022-06-05,14,8,6,0.2727272727272727
2022-06-06,28,6,22,0.6470588235294118
2022-06-07,68,24,44,0.4782608695652174
2022-06-08,56,27,29,0.3493975903614458
2022-06-09,23,4,19,0.7037037037037037
2022-06-10,0,1,-1,-1.0
2022-06-11,0,1,-1,-1.0
2022-06-12,1,0,1,1.0
2022-06-14,2,1,1,0.3333333333333333
2022-06-15,2,0,2,1.0
